epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,748.39,0.7953,0.48742,1.01118,0.83784,0.78755,0.80785,0.52913,1.02791,0.58293,1.43576,0.000339673,0.000339673,0.000339673
79,758.273,0.77612,0.46873,1.0074,0.82748,0.84615,0.80562,0.55237,0.99764,0.56104,1.37331,0.000325526,0.000325526,0.000325526
80,768.355,0.78799,0.47809,1.01186,0.82883,0.76878,0.78092,0.55633,0.97184,0.57955,1.39392,0.000311379,0.000311379,0.000311379
81,778.548,0.7698,0.448,0.99851,0.84339,0.76246,0.78694,0.52676,1.02146,0.59799,1.41851,0.000297232,0.000297232,0.000297232
82,788.569,0.76176,0.46672,0.99768,0.83645,0.76849,0.77083,0.51152,1.02727,0.60928,1.42655,0.000283085,0.000283085,0.000283085
83,797.37,0.75804,0.45533,0.99738,0.81146,0.81685,0.7885,0.54797,0.96192,0.56133,1.36926,0.000268938,0.000268938,0.000268938
84,806.587,0.7511,0.45897,0.99268,0.82344,0.76557,0.77568,0.54179,0.9967,0.60047,1.41955,0.000254791,0.000254791,0.000254791
85,815.818,0.75482,0.46659,0.9991,0.82068,0.76376,0.78259,0.5466,0.9563,0.56802,1.39091,0.000240644,0.000240644,0.000240644
86,825.12,0.74576,0.45001,0.97414,0.8004,0.78164,0.78059,0.54936,0.97272,0.59163,1.42034,0.000226497,0.000226497,0.000226497
87,835.303,0.75921,0.46642,1.00578,0.80847,0.80037,0.79878,0.55749,0.96609,0.57902,1.40136,0.000212349,0.000212349,0.000212349
88,844.246,0.72839,0.45478,0.98649,0.81756,0.74725,0.76844,0.54557,0.94944,0.59138,1.38467,0.000198202,0.000198202,0.000198202
89,853.991,0.72398,0.43123,0.97526,0.85285,0.76146,0.79623,0.5526,0.99434,0.59155,1.45527,0.000184055,0.000184055,0.000184055
90,864.145,0.72212,0.45005,0.97984,0.84047,0.75399,0.79678,0.56049,0.95709,0.56219,1.39606,0.000169908,0.000169908,0.000169908
91,902.976,0.65324,0.39139,0.96489,0.79713,0.79228,0.8023,0.55263,1.02068,0.59602,1.4493,0.000155761,0.000155761,0.000155761
92,912.088,0.64351,0.38101,0.9639,0.79549,0.82724,0.80231,0.55506,0.97078,0.57527,1.43146,0.000141614,0.000141614,0.000141614
93,921.648,0.61644,0.3655,0.95889,0.79945,0.74801,0.76398,0.54096,0.97202,0.60708,1.44372,0.000127467,0.000127467,0.000127467
94,931.285,0.60615,0.35822,0.95575,0.78741,0.83488,0.80376,0.55947,0.94455,0.5532,1.43725,0.00011332,0.00011332,0.00011332
95,940.992,0.59814,0.35691,0.93643,0.78831,0.81136,0.80097,0.55238,0.96407,0.54476,1.43719,9.91726e-05,9.91726e-05,9.91726e-05
96,950.523,0.59218,0.34849,0.93949,0.79375,0.78755,0.79637,0.55266,0.95281,0.55045,1.41466,8.50255e-05,8.50255e-05,8.50255e-05
97,960.664,0.60152,0.35462,0.94474,0.73682,0.79304,0.77147,0.54525,0.92568,0.55942,1.39831,7.08784e-05,7.08784e-05,7.08784e-05
98,970.984,0.57434,0.34278,0.92951,0.72745,0.81184,0.7712,0.53817,0.98393,0.57238,1.44408,5.67313e-05,5.67313e-05,5.67313e-05
99,980.691,0.57191,0.34509,0.92501,0.77601,0.75677,0.75784,0.53302,0.97789,0.58379,1.44361,4.25842e-05,4.25842e-05,4.25842e-05
100,990.557,0.56298,0.33894,0.93604,0.80331,0.78755,0.78559,0.53653,0.99938,0.58526,1.46068,2.84371e-05,2.84371e-05,2.84371e-05
